ICD9dx,CCS Category,CCS Category Description
'71929','204  ','Ot joint dx'
'71930','204  ','Ot joint dx'
'71931','204  ','Ot joint dx'
'71932','204  ','Ot joint dx'
'71933','204  ','Ot joint dx'
'71934','204  ','Ot joint dx'
'71935','204  ','Ot joint dx'
'71936','204  ','Ot joint dx'
'71937','204  ','Ot joint dx'
'71938','204  ','Ot joint dx'
'71939','204  ','Ot joint dx'
'71940','204  ','Ot joint dx'
'71941','204  ','Ot joint dx'
'71942','204  ','Ot joint dx'
'71943','204  ','Ot joint dx'
'71944','204  ','Ot joint dx'
'71945','204  ','Ot joint dx'
'71946','204  ','Ot joint dx'
'71947','204  ','Ot joint dx'
'71948','204  ','Ot joint dx'
'71949','204  ','Ot joint dx'
'71950','204  ','Ot joint dx'
'71951','204  ','Ot joint dx'
'71952','204  ','Ot joint dx'
'71953','204  ','Ot joint dx'
'71954','204  ','Ot joint dx'
'71955','204  ','Ot joint dx'
'71956','204  ','Ot joint dx'
'71957','204  ','Ot joint dx'
'71958','204  ','Ot joint dx'
'71959','204  ','Ot joint dx'
'71960','204  ','Ot joint dx'
'71961','204  ','Ot joint dx'
'71962','204  ','Ot joint dx'
'71963','204  ','Ot joint dx'
'71964','204  ','Ot joint dx'
'71965','204  ','Ot joint dx'
'71966','204  ','Ot joint dx'
'71967','204  ','Ot joint dx'
'71968','204  ','Ot joint dx'
'71969','204  ','Ot joint dx'
'7197 ','204  ','Ot joint dx'
'71970','204  ','Ot joint dx'
'71975','204  ','Ot joint dx'
'71976','204  ','Ot joint dx'
'71977','204  ','Ot joint dx'
'71978','204  ','Ot joint dx'
'71979','204  ','Ot joint dx'
'71980','204  ','Ot joint dx'
'71981','204  ','Ot joint dx'
'71982','204  ','Ot joint dx'
'71983','204  ','Ot joint dx'
'71984','204  ','Ot joint dx'
'71985','204  ','Ot joint dx'
'71986','204  ','Ot joint dx'
'71987','204  ','Ot joint dx'
'71988','204  ','Ot joint dx'
'71989','204  ','Ot joint dx'
'71990','204  ','Ot joint dx'
'71991','204  ','Ot joint dx'
'71992','204  ','Ot joint dx'
'71993','204  ','Ot joint dx'
'71994','204  ','Ot joint dx'
'71995','204  ','Ot joint dx'
'71996','204  ','Ot joint dx'
'71997','204  ','Ot joint dx'
'71998','204  ','Ot joint dx'
'71999','204  ','Ot joint dx'
'7201 ','205  ','Back problem'
'7202 ','205  ','Back problem'
'72081','205  ','Back problem'
'72089','205  ','Back problem'
'7209 ','205  ','Back problem'
'7210 ','205  ','Back problem'
'7211 ','205  ','Back problem'
'7212 ','205  ','Back problem'
'7213 ','205  ','Back problem'
'72141','205  ','Back problem'
'72142','205  ','Back problem'
'7215 ','205  ','Back problem'
'7216 ','205  ','Back problem'
'7217 ','205  ','Back problem'
'7218 ','205  ','Back problem'
'72190','205  ','Back problem'
'72191','205  ','Back problem'
'7220 ','205  ','Back problem'
'72210','205  ','Back problem'
'72211','205  ','Back problem'
'7222 ','205  ','Back problem'
'72230','205  ','Back problem'
'72231','205  ','Back problem'
'72232','205  ','Back problem'
'72239','205  ','Back problem'
'7224 ','205  ','Back problem'
'72251','205  ','Back problem'
'72252','205  ','Back problem'
'7226 ','205  ','Back problem'
'72270','205  ','Back problem'
'72271','205  ','Back problem'
'72272','205  ','Back problem'
'72273','205  ','Back problem'
'72280','205  ','Back problem'
'72281','205  ','Back problem'
'72282','205  ','Back problem'
'72283','205  ','Back problem'
'72290','205  ','Back problem'
'72291','205  ','Back problem'
'72292','205  ','Back problem'
'72293','205  ','Back problem'
'7230 ','205  ','Back problem'
'7231 ','205  ','Back problem'
'7232 ','205  ','Back problem'
'7233 ','205  ','Back problem'
'7234 ','205  ','Back problem'
'7235 ','205  ','Back problem'
'7236 ','205  ','Back problem'
'7237 ','205  ','Back problem'
'7238 ','205  ','Back problem'
'7239 ','205  ','Back problem'
'72400','205  ','Back problem'
